当年的计算,当时的结论,实际（截至 2026-09-22）,对/错
减半→顶 536 天（2017/2021 两轮）,本轮顶约 2025-10-08,实际顶 2025-10-05/06,对（差 2–3 天）
06-01 五模型：底部价格,"中枢 $43,611–$60,385；共识中位 $57,626","至今最低 $58,586（2026-06-30）",价格对（落在区间内、接近中位）
06-01 五模型：底部时间,中枢 2026-10-10 ~ 2026-10-30,低点出现在 2026-06-30，早了约 3–4 个月,时间错（除非 10 月再跌破）
AHR999 深底 0.26–0.28,本轮也会探到这一带,2026-02-05 0.280；2026-06-30 0.281,对
报告锚点 08-12 + 364/366 天,2026-08-11 ~ 08-13 附近是时间底,"第 365 天 $63,402；08-01 $62,835 与 08-16 $62,859 两次踩在同一位置，08-17 起飞",时间点对，但它是「更高的低点」不是新低
真顶 10-05 + 364/378 天（stepC1）,2026-10-04 ~ 10-18 附近是时间底,还没到；要跌破 6 月低点需从今天再跌 32%,待验证
stepC1 退火价格底 -28% ~ -44%,$69.5k–$89.9k,6 月跌到 -53%（跌过头）；今天 -31% 又回到区间里,半对：跌得比模型深，但现在回到模型路径
stepD12 价格区间,$29k–$57k，中枢 $39k,"至今最低 $58,586",太悲观
07-17 家庭计划「55–60k 较合理价格区」,2026-08 → 2027-02 窗口里大概率能在这一带买,"窗口内最低 $62,835（08-01，离 60k 只差 5%）；8 月均价 $69,481，9 月至今均价 $79,168",错：55–60k 在窗口开始前（6 月底）就到过，窗口里没再回来
「W 底」（2 月第一脚 → 6 月第二脚）,第二脚后反弹,06-30 后 +47%,对
「真正时间底大概率在 8–10 月」,8–10 月还会再跌回来,8 月没破 6 月低点，反而起飞,至今是错的（10 月未完）
